Track name, Artist name, Album, Playlist name, Type
Zero 9:36 - WWYDF,,,Liked videos,Favorite
Dance Gavin Dance - Head Hunter,,,Liked videos,Favorite
Conditions - Give It All,,,Liked videos,Favorite
Panic! At The Disco - Say Amen (Saturday Night),,,Liked videos,Favorite
Machine Gun Kelly · YUNGBLUD · Travis Barker - I Think I'm OKAY,,,Liked videos,Favorite
Northbound - Fade to Black,,,Liked videos,Favorite
The Score - Glory,,,Liked videos,Favorite
NEFFEX - Numb,,,Liked videos,Favorite
I Prevail - Stuck In Your Head,,,Liked videos,Favorite
Dayseeker - Sleeptalk,,,Liked videos,Favorite
"The Used - Paradise Lost, a Poem by John Milton",,,Liked videos,Favorite
YUNGBLUD · Dan Reynolds - original me,,,Liked videos,Favorite
Gerard Way - Baby You're a Haunted House,,,Liked videos,Favorite
From Ashes to New - Crazy,,,Liked videos,Favorite
The Faim - Summer Is a Curse,,,Liked videos,Favorite
Adelitas Way - What It Takes,,,Liked videos,Favorite
Fall Out Boy - Champion,,,Liked videos,Favorite
YUNGBLUD - hope for the underrated youth,,,Liked videos,Favorite
Palaye Royale - Mr. Doctor Man,,,Liked videos,Favorite
Tyler Posey - This Mess,,,Liked videos,Favorite
Atreyu - In Our Wake,,,Liked videos,Favorite
Rise Against - Wolves,,,Liked videos,Favorite
As It Is - The Stigma (Boys Don’t Cry),,,Liked videos,Favorite
All Time Low - Birthday,,,Liked videos,Favorite
Boston Manor - Halo,,,Liked videos,Favorite
Smash Into Pieces - In Need of Medicine,,,Liked videos,Favorite
Stand Atlantic - Lavender Bones,,,Liked videos,Favorite
You Me At Six - Straight to My Head,,,Liked videos,Favorite
The Struts - Fire (Part 1),,,Liked videos,Favorite
PVRIS - Half,,,Liked videos,Favorite
The All-American Rejects - Sweat,,,Liked videos,Favorite
Trophy Eyes - You Can Count On Me,,,Liked videos,Favorite
You Me At Six - Fast Forward,,,Liked videos,Favorite
Frank Iero · The Future Violents - Young and Doomed,,,Liked videos,Favorite
Deaf Havana - Hell,,,Liked videos,Favorite
YONAKA - F.W.T.B.,,,Liked videos,Favorite
You Me At Six - I O U,,,Liked videos,Favorite
Cemetery Sun - Stay A While,,,Liked videos,Favorite
Cemetery Sun - Fake Love,,,Liked videos,Favorite
Dashboard Confessional - We Fight,,,Liked videos,Favorite
Radkey - Rock & Roll Homeschool,,,Liked videos,Favorite
Rendez Vous - Sentimental Animal,,,Liked videos,Favorite
Fizzy Blood - Pink Magic,,,Liked videos,Favorite
Brick + Mortar - Saturday Night,,,Liked videos,Favorite
Selfish Things - Hangman,,,Liked videos,Favorite
Arrested Youth - VANS,,,Liked videos,Favorite
Fizzy Blood - Summer of Luv,,,Liked videos,Favorite
Hellions - Furrow,,,Liked videos,Favorite
Fangclub - Lightning,,,Liked videos,Favorite
Asking Alexandria - They Don't Want What We Want (And They Don't Care),,,Liked videos,Favorite
Bring Me The Horizon - sugar honey ice & tea (Official Video),,,Liked videos,Favorite
Bring Me The Horizon - MANTRA (Official Video),,,Liked videos,Favorite
Boston Manor - Bad Machine,,,Liked videos,Favorite
State to State - The Shifter,,,Liked videos,Favorite
grandson - Blood // Water,,,Liked videos,Favorite
grandson - Despicable,,,Liked videos,Favorite
grandson - Overdose,,,Liked videos,Favorite
grandson - Darkside,,,Liked videos,Favorite
grandson - Rock Bottom,,,Liked videos,Favorite
grandson - Blood // Water (Acoustic),,,Liked videos,Favorite
grandson - Oh No!!!,,,Liked videos,Favorite
grandson - Apologize,,,Liked videos,Favorite
grandson - 6:00,,,Liked videos,Favorite
grandson · Mob Rich - Happy Pill,,,Liked videos,Favorite
grandson - Stigmata,,,Liked videos,Favorite
grandson - Die Young,,,Liked videos,Favorite
grandson - War,,,Liked videos,Favorite
grandson - Thoughts and Prayers (Official Audio),,,Liked videos,Favorite
Dinosaur Pile-Up - 11:11 (Radio Edit),,,Liked videos,Favorite
Royal Blood - Ten Tonne Skeleton,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Juggernaut,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Trouble,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Fangs,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Devil Inside Me,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Loss,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Beautiful Death,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Rotten Blossom,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - Primary Explosive,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes · Frank Carter & The Rattlesnakes - I Hate You,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes - Crowbar,,,Liked videos,Favorite
Yak - Alas Salvation,,,Liked videos,Favorite
Frank Carter & The Rattlesnakes - Wild Flowers,,,Liked videos,Favorite
Queens Of The Stone Age - No One Knows,,,Liked videos,Favorite
Royal Blood - Out of the Black,,,Liked videos,Favorite
Foo Fighters - Long Road To Ruin,,,Liked videos,Favorite
Royal Blood - Figure It Out,,,Liked videos,Favorite
Silverstein · Caleb Shomo - Burn It Down,,,Liked videos,Favorite
Silverstein · Intervals - Bad Habits,,,Liked videos,Favorite
A Day To Remember - Resentment,,,Liked videos,Favorite
